chapter,hiragana,kanji,english
11,ちょっと～まで。,一寸～まで,I'm just going to ~.
11,いっていらっしゃい,,So long. (lit. Go and come back.)
11,いってまいります,行ってまいります。So,long. (lit. I'm going and coming back.)
11,それから,,"and, furthermore"
12,かんたん［な］,簡単［な］,"easy, simple"
12,ちかい,近い,near
12,はやい,速い、早い,"fast, early"
12,おそい,遅い,"slow, late"
12,おおい［ひとが～］,多い［人が～］,"many [people], much"
12,すくない［ひとが～］少ない［人が～］few,,"[people], a little"
12,あたたかい,暖かい、温かい,warm
12,すずしい,涼しい,cool
12,からい,辛い,"hot (taste), spicy"
12,かるい,軽い,light
12,いい［コーヒーが～］,,prefer[coffee]
12,きせつ,季節,season
12,はる,春,spring
12,なつ,夏,summer
12,あき,秋,"autumn, fall"
12,てんき,天気,weather
12,あめ,雨,"rain, rainy"
12,ゆき,雪,"snow, snowy"
12,くもり,曇り,cloudy
12,ホテル,,hotel
12,くうこう,空港,airport
12,うみ,海,"sea, ocean"
12,せかい,世界,world
12,しけん,試験,examination
12,すきやき,すき焼き,sukiyaki (beef and vegetables hot pot)
12,さしみ,刺身,sashimi (sliced raw fish)
12,てんぷら,,tempura (seafood and vegetables deep fried in batter)
12,もみじ,紅葉,"maple, red leaves of autumn"
12,どちら,,which one (between two things)
12,どちらも,,both
12,ずっと,,by far
12,はじめて,初めて,for the first time
12,ただいま。,,I'm home.
12,おかえりなさい。,,Welcome home.
12,すごいですね。,凄いですね,That's amazing.
12,つかれました,疲れました,(I'm) tired.
13,あそびます,遊びます,"enjoy oneself, play"
13,およぎます,泳ぎます,swim
13,むかえます,迎えます,"go to meet, welcome"
13,つかれます,疲れます,get tired
13,でます［きっさてんを～］,出ます,go out [of a coffee shop]
13,けっこんします,結婚します,"marry, get married"
13,しょくじします,食事します,"have a meal, dine"
13,さんぽします［こうえんを,,take a walk [in a park]
13,たいへん［な］,大変［な］,"hard, tough, severe, awful"
13,さびしい,寂しい,lonely
13,せまい,狭い,"narrow, small (room, etc.)"
13,しやくしょ,市役所,"municipal office, city hall"
13,プール,,swimming pool
13,かわ,川,river
13,けいざい,経済,economy
13,びじゅつ,美術,fine arts
13,つり,釣り,"fishing (～をします: fish, angle)"
13,スキー,,skiing (～をします: ski)
13,とうろく,登録,registration (～をします: register)
13,しゅうまつ,週末,weekend
13,～ごろ,,about (time)
13,なにか,何か,something
13,どこか,,"somewhere, some place"
13,おなかがすきました。,お腹が空きました,(I'm) hungry.
13,おなかがいっぱいです。,お腹が一杯です,(I'm) full.
13,のどがかわきました。,,(I'm) thirsty.
13,そうですね。,,I agree with you.
13,ごちゅうもんは？,ご注文は？,May I take your order?
13,ていしょく,定食,set meal
13,ぎゅうどん,牛どん,bowl of rice topped with beef
13,べつべつに,別々に,separately
14,つけます,,turn on
14,けします,消します,turn off
14,あけます,開けます,open
14,いそぎます,急ぎます,hurry
14,まちます,待ちます,wait
14,とめます,止めます,"stop, park"
14,まがります［みぎへ～］,曲がります,turn [to the right]
14,もちます,持ちます,hold
14,とります,取ります,"take, pass"
14,てつだいます,手伝います,help (with a task)
14,よびます,呼びます,call
14,みせます,見せます,show
14,はじめます,始めます,"start, begin"
14,コピーします,,copy
14,エアコン,,air conditioner
14,パスポート,,passport
14,なまえ,名前,name
14,じゅうしょ,住所,address
14,ちず,地図,map
14,しお,塩,salt
14,さとう,砂糖,sugar
14,～かた,～方,"how to ~, way of ~ing"
14,ゆっくり,,"slowly, leisurely"
14,すぐ,直ぐ,immediately
14,また,又,again
14,あとで,,later
14,もうすこし,もう少し,a little more
14,もう～,,"~ more, another ~"
14,いいですよ。,,Sure. / Certainly
14,あれ？,,Oh!(in surprise or in wonder)
14,まっすぐ,真っ直ぐ,straight
14,これでおねがいします。,これでお寝がいします。I'd,like to pay with this.
14,おつり,お釣り,change
15,たちます,立ちます,stand up
15,つかいます,使います,use
15,おきます,置きます,put
15,つくります,作ります、造ります,"make, produce"
15,うります,売ります,sell
15,しります,知ります,get to know
15,すみます,住ます,be going to live
15,けんきゅうします,研究します,do research
15,しっています,知っています,know
15,しりょう,資料,"materials, data"
15,カタログ,,catalog
15,じこくひょう,時刻表,timetable
15,ふく,服,clothes
15,せいひん,製品,products
15,ソフト,,software
15,せんもん,専門,"speciality, field of study"
15,はいしゃ,歯医者,"dentist, dentist's"
15,プレイガイド,,(theatre) ticket agency
15,どくしん,独身,"single, unmarried"
15,とくに,特に,especially
15,おもいだします,思い出します,"remember, recollect"
15,ごかぞく,ご家族,your family
15,いらっしゃいます,,be (honorific equivalent of います）
15,こうこう,高校,senior high school
16,のります［でんしゃに～］,乗ります,"ride, get on [a train]"
16,おります［でんしゃを～］,降ります,get off [a train]
16,のりかえます,乗り換えます,"change (trains, etc.)"
16,あびます［シャワーを～］,浴びます,take [a shower]
16,いれます,入れます,"put in, insert"
16,はいります［だいがくに～］,入ります,enter [university]
16,でます［だいがくを～］,出ます,graduate from [university]
16,やめます［かいしゃを～］,辞めます,"quit or retire from [a company], stop, give up"
16,おします,押します,"press, push"
16,わかい,若い,young
16,ながい,長い,long
16,みじかい,短い,short
16,あかるい,明るい,"bright, light"
16,せがたかい,背が高い,tall (referring to person)
16,あたまがいい,頭がいい,"clever, smart"
16,からだ,体,body
16,あたま,頭,head
16,かみ,髪,hair
16,かお,顔,face
16,め,目,eye
16,みみ,耳,ear
16,は,歯,tooth
16,おなか,お腹,stomach
16,あし,足,"leg, foot"
16,サービス,,service
16,ジョギング,,jogging (～をします :jog)
16,シャワー,,shower
16,みどり,緑,"green, greenery"
16,じんじゃ,神社,Shinto shrine
16,りゅうがくせい,留学生,foreign student
16,どうやって,,"in what way, how"
16,どの～,,which ~ (used for three or more)
16,おひきだしですか。,お引き出しですか。Are,you making a withdrawl?
16,まず,先ず,first of all
16,キャッシュカード,,cash dispensing card
16,つぎに,次に,"next, as a next step"
16,きんがく,金額,amount of money
16,かくにん,確認,confirmation ( ～します: confirm)
16,ボタン,,button
17,おぼえます,覚えます,memorise
17,わすれます,忘れます,forget
17,だします［レポートを～］出します,,hand in [ a report]
17,はらいます,払います,pay
17,かえします,返します,"give back, return"
17,でかけます,出かけます,go out
17,ぬぎます,脱ぎます,"take off (clothes, shoes, etc.)"
17,もっていきます,持って行ます,take (something) (lit. grab and go)
17,もってきます,持って木ます,bring (something) (lit. grab and come)
17,しんぱいします,心配します,worry
17,しゅっちょうします,出張します,go on a business trip
17,のみます［くすりを～］,飲みます,take [medicine]
17,はいります［おふろに～］入ります,,take [a bath]
17,たいせつ［な］,大切［な］,"important, precious"
17,だいじょうぶ［な］,大丈夫［な］,all right
17,あぶない,危ない,dangerous
17,こたえ,答え,answer
17,ねつ,熱,fever
17,くすり,薬,medicine
17,うわぎ,上着,"jacket, outerwear"
17,したぎ,下着,underwear
17,せんせい,先生,doctor)
17,～までに,,"before ~, by ~ (indicating time limit)"
17,ですから,,"therefore, so"
17,どうしましたか。,,What's the matter?
17,のど,,throat
18,できます,出来ます,"be able to, can"
18,あらいます,洗います,wash
18,ひきます,弾きます,"play (stringed instrument or piano, etc.)"
18,うたいます,歌います,sing
18,すてます,捨てます,throw away
18,かえます,換えます,"exchange, change"
18,うんてんします,運転します,drive
18,よやくします,予約します,"reserve, book"
18,けんがくします,見学します,visit some place for study
18,ピアノ,,piano
18,～メートル,,~ meter
18,こくさい～,国際～,international ~
18,しゅみ,趣味,hobby
18,にっき,日記,diary
18,かちょう,課長,section chief
18,ぶちょう,部長,department chief
18,しゃちょう,社長,president of a company
18,どうぶつ,動物,animal
18,うま,馬,horse
18,へえ,,Really! (used when expressing surprise)
18,それはおもしろいですね。,,That must be interesting.
18,なかなか,中々,not easily (used with negatives)
18,ぼくじょう,牧場,"ranch, stock farm"
18,ほんとうですか。,本当ですか。,Really?
18,ぜひ,是非,by all means
19,のぼります［やまに～］,登ります,climb [a mountain]
19,とまります［ホテルに～］,泊まります,stay [at a hotel]
19,そうじします,掃除します,clean (a room)
19,せんたくします,洗濯します,wash (clothes)
19,れんしゅうします,練習します,practice
19,なります,,become
19,ねむい,眠い,sleepy
19,つよい,強い,strong
19,よわい,弱い,weak
19,ちょうしがいい,調子がいい,be in good condition
19,ちょうしがわるい,調子が悪い,be in bad condition
19,ゴルフ,,golf
19,すもう,相撲,sumo wrestling
19,パチンコ,,pinball game (～をします: play pachinko)
19,おちゃ,お茶,tea ceremony
19,ひ,日,"day, date"
19,いちど,一度,once
19,いちども,一度も,"not once, never (used with negatives)"
19,だんだん,段々,gradually
19,もうすぐ,,soon
19,かんぱい,乾杯,Bottoms up./Cheers!
19,じつは,実は,"actually, to tell the truth"
19,ダイエット,,diet (～をします: go on a diet)
19,なんかいも,何回も,many times
19,しかし,,"but, however"
19,からだにいい,体にいい,good for one's health
19,ケーキ,,cake
20,しらべます,調べます,"check, investigate"
20,なおします,直します,"repair, correct"
20,しゅうりします,修理します,repair
20,でんわします,電話します,phone
20,ぼく,僕,I (an infomal equivalent of わたしused by men)
20,きみ,君,you (an informal equivalent of あなた used by men)
20,～くん,～君,Mr. (an informal equivalent of ～さん used by men)
20,うん,,yes (an informal equivalent of はい)
20,ううん,,no (an informal equivalent of いいえ)
20,サラレーマン,,"salaried worker, office worker"
20,ことば,言葉,"word, language"
20,きもの,着物,kimono (traditional Japanese attire)
20,ビザ,,visa
20,はじめ,初め,the beginning
20,おわり,終わり,the end
20,こっち,,"this way, this place (an informal equivalent of こちら)"
20,そっち,,"this way, that place (an informal equivalent of そちら)"
20,このあいだ,この間,the other day
20,みんなで,皆で,all together
20,～けど,,"~, but (an infomal equivalent of が)"
20,くにへかえるの？,国へ帰るの？,Are you going back to your country?
20,どうするの？,,What will you do?
20,どうしようかな。,,What shall I do?
20,いろいろ,色々,various
21,おもいます,思います,think
21,いいます,言います,say
21,たります,足ります,"be enough, be sufficient"
21,かちます,勝ちます,win
21,まけます,負けます,"lose, be beaten"
21,やくにたちます,役に立ちます,be useful
21,むだ［な］,無駄,wasteful
21,ふべん［な］,不便［な］,inconvenient
21,おなじ,同じ,the same
21,しゅしょう,首相,prime minister
21,だいとうりょう,大統領,president
21,せいじ,政治,politics
21,ニュース,,news
21,スピーチ,,speech (～を します:make a speech)
21,しあい,試合,"game, match"
21,アルバイト,,side job (～を します:work part time)
21,いけん,意見,opinion
21,ユーモア,,humor
21,デザイン,,design
21,こうつう,交通,"transportation, traffic"
21,ラッシュ,,rush hour
21,さいきん,最近,"recently, these days"
21,たぶん,多分,"probably, perhaps, maybe"
21,きっと,,surely
21,ほんとうに,本当に,really
21,～について,,"about ~, concerning ~"
21,しかたがありません。,仕方がありません。,There is no other choice. / It can't be helped.
21,～でものみませんか。,～でも野みませんか。How,about drinking ~ or something?
21,みないと…,見ないと…,I've got to watch it.
21,もちろん,,of course
22,きます［シャツを～］,着ます,"put on [a shirt, etc]"
22,はきます［くつを～］,履きます,"put on [shoes, trousers, etc]"
22,かけます［めがねを～］掛けます,,put on [glasses]
22,うまれます,,be born
22,コート,,coat
22,スーツ,,suit
22,セーター,,sweater
22,ぼうし,帽子,"hat, cap"
22,めがね,眼鏡,glasses
22,よく,,often
22,こちら,,this (polite equivalent of これ)
22,やちん,家賃,house rent
22,うーん,,Let me see.
22,ダイニングキチン,,kitchen with a dining area
22,わしつ,和室,Japanese-style room
22,ふとん,布団,Japanese-style matress and quilt
22,アパート,,apartment
23,ききます［せんせいに～］,聞きます,ask [the teacher]
23,まわします,回します,turn
23,ひきます,引きます,pull
23,かえます,変えます,change
23,さわります［ドアに～］,触ります,touch [a door]
23,でます［おつりが～］,出ます,[change] come out
23,うごきます［とけいが～］,動きます,"[a watch] move, work"
23,あるきます［みちを～］,歩きます,walk [along a road]
23,わたります［はしを～］,渡ります,cross [a bridge]
23,ひっこしします,引っ越ししますmove,(house)
23,でんきや,電気屋,electrician
